codigo_dane,tratamiento,edad,sexo,EGRA_Total,EGMA_Total,CSL_pct_correctas,DPSS_pct_correctas,LP_pct_correctas,CL_pct_correctas,miss_num_pct_correctas,comp_mat_op_pct_correctas,sums_pct_correctas,substract_pct_correctas,mult_div_pct_correctas,res_problems_pct_correctas,ruralidad,pdet,tei_nivel_pre,matricula_pre,pct_jornada_completa,composicion_grados,zona_C,zona_D,zona_E,tiene_tei_slope,tei_slope_pre,zona_ptafi
325754004238,0,9,2,43.9625,50.294999999999995,15.0,46,31.52,83.33,70,50,84,44.44,20,33.33,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
125754002066,1,9,1,40.9775,49.123333333333335,35.0,48,30.91,50.0,80,20,64,40.74,40,50.0,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
168001000525,1,9,1,48.675,81.19833333333334,41.67,60,43.03,50.0,60,50,92,85.19,100,100.0,0.0,0.0,97.40737135118356,4193.0,25.948008585738137,4.0,True,False,False,1,0.1658523817208106,C
125754002066,1,8,2,58.644999999999996,55.76499999999999,21.67,72,57.58,83.33,80,50,72,59.26,40,33.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
325754004238,0,9,1,46.7725,76.55499999999999,23.33,28,35.76,100.0,60,70,96,100.0,50,83.33,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
119001001474,0,8,2,57.8875,93.14833333333333,45.0,82,54.55,50.0,80,90,100,88.89,100,100.0,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
119001001474,0,8,2,39.09,71.0,20.0,60,43.03,33.33,70,70,96,66.67,90,33.33,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
325754004238,0,9,1,53.6275,77.37166666666667,18.33,48,64.85,83.33,80,80,92,55.56,90,66.67,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
168001001921,0,9,1,53.522499999999994,76.05,11.67,100,69.09,33.33,90,70,100,96.3,100,0.0,0.0,0.0,94.74079980653808,5252.0,0.0,4.0,True,False,False,1,-3.99579393534728,C
168001000525,1,9,2,42.052499999999995,60.593333333333334,8.33,52,41.21,66.67,60,60,88,55.56,50,50.0,0.0,0.0,97.40737135118356,4193.0,25.948008585738137,4.0,True,False,False,1,0.1658523817208106,C
395001800056,0,9,2,62.67999999999999,44.75333333333333,20.0,88,59.39,83.33,50,40,60,51.85,50,16.67,0.0,1.0,0.9830508474576272,1094.0,0.0,4.0,False,False,True,0,,E
195001001111,1,9,2,66.1125,68.93833333333333,18.33,74,72.12,100.0,80,40,84,62.96,80,66.67,0.0,1.0,83.01764567898707,1586.0,0.0,4.0,False,False,True,1,3.9711727661370446,E
168001000525,1,8,2,53.42999999999999,68.765,8.33,76,46.06,83.33,80,40,100,59.26,50,83.33,0.0,0.0,97.40737135118356,4193.0,25.948008585738137,4.0,True,False,False,1,0.1658523817208106,C
366001000670,0,9,2,63.25750000000001,80.14833333333333,10.0,100,76.36,66.67,100,70,72,55.56,100,83.33,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
366001000670,0,9,2,65.945,75.67833333333333,8.33,100,72.12,83.33,100,80,100,74.07,50,50.0,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
325754004238,0,8,1,37.182500000000005,53.75333333333333,10.0,76,46.06,16.67,60,40,64,51.85,40,66.67,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
168001001921,0,8,1,57.4025,78.77833333333334,25.0,94,60.61,50.0,70,60,96,66.67,80,100.0,0.0,0.0,94.74079980653808,5252.0,0.0,4.0,True,False,False,1,-3.99579393534728,C
